,ni,nj,nk,disruption,name,confidence
mn0000768609,3.0,0.0,45.0,0.0625,Antonin Dvorák,0.7446
mn0000085806,2.0,0.0,1.0,0.6666666666666666,Billy Thorpe,0.6679
mn0000203008,32.0,56.0,1786.0,-0.012806830309498399,Rush,0.9897
mn0000831381,2.0,2.0,2611.0,0.0,Robin Trower,0.4992
mn0000218777,20.0,2.0,6.0,0.6428571428571429,John Bonham,0.9981
mn0000044764,110.0,63.0,2486.0,0.017675817976682964,Blondie,1.0
mn0000509223,17.0,17.0,1904.0,0.0,Mudhoney,0.5084
mn0000835749,16.0,2.0,16.0,0.4117647058823529,Scott Asheton,0.9889
mn0000420539,34.0,9.0,2695.0,0.009130752373995616,The Residents,0.9995
mn0000926091,20.0,27.0,1167.0,-0.005766062602965404,Einstürzende Neubauten,0.8058
mn0000200679,16.0,2.0,225.0,0.05761316872427984,Twista,0.9902
mn0000163662,5.0,1.0,386.0,0.01020408163265306,E.S.G.,0.7887
mn0000385766,2.0,1.0,538.0,0.0018484288354898336,Rachelle Ferrell,0.5849
